firstName,middleName,lastName,primaryContact,secondaryContact,emailAddress,gender,totalExperience,relevantExperience,lastCompany,candidateSource,onboardStatus,financialYear,marketOffering,subBusinessLine,competency,subCompetency
Angelique,Reginald,Klimkov,86-9373294,,rklimkov3j@ycombinator.com,Female,7,6,Five Below,Vendor,Joined,FY20 P6,Risk Intelligence,PROD STAFF,MS&P CIS,PaCS
Juliette,Farris,Emes,01-3577730,,femes3k@slate.com,Female,10,24,"Diversey, Inc.",Vendor,Placed on Hold,FY20 P2,Risk Intelligence,PROD STAFF,MS&P CIS,ValueD
Abeu,Roderigo,Manketell,19-7110759,,rmanketell3l@discuz.net,Male,23,1,Ducere Pharma LLC,CTH to FTE,Offer Accepted,FY20 P2,National,PROD STAFF,MS&P CIS,PaCS
Aleece,Fritz,Spilling,62-5681394,,fspilling3m@hc360.com,Female,21,13,"Sato Pharmaceutical Co., Ltd.",CTH to FTE,Offer Accepted,FY20 P4,Fin Risk Trans & Restructuring,PROD STAFF,MS&P CIS,ValueD
Heloise,Shepard,Westney,74-5011732,,swestney3n@upenn.edu,Female,14,18,Bausch & Lomb Incorporated,CTH to FTE,Offer Accepted,FY20 P5,Assurance & Internal Audit,PROD STAFF,MS&P CIS,PaCS
Celinka,Berne,Radbond,15-7110966,,bradbond3o@va.gov,Female,1,25,Laboratoires M&L,PDAT,Joined,FY20 P4,Risk Intelligence,PROD STAFF,MS&P CIS,AFES
Skye,Randie,Durdle,79-1143470,,rdurdle3p@ox.ac.uk,Male,18,14,"Kareway Product, Inc.",PDAT,Offer Accepted,FY20 P6,National,PROD STAFF,MS&P CIS,ValueD
Panchito,Micah,Spafford,86-8311623,,mspafford3q@weather.com,Male,2,6,B. Braun Medical Inc.,Internal Mobility,Offer Accepted,FY20 P2,Forensic,PROD STAFF,MS&P CIS,AFES
Jareb,Yale,Taberner,85-4248639,,ytaberner3r@i2i.jp,Male,19,16,"SJ Creations, Inc.",PDAT,Offer Accepted,FY20 P5,National,PROD STAFF,MS&P CIS,ValueD
Elihu,Salvidor,Mackilpatrick,59-6332087,,smackilpatrick3s@statcounter.com,Male,7,9,"Physicians Total Care, Inc.",CTH to FTE,Offer Accepted,FY20 P1,Fin Risk Trans & Restructuring,PROD STAFF,MS&P CIS,PaCS
Goldy,Montague,Mulford,00-4784442,,mmulford3t@ask.com,Female,9,3,Sunway Biotech LLC,PDAT,Joined,FY20 P4,Assurance & Internal Audit,PROD STAFF,MS&P CIS,ValueD
Deina,Humbert,Olerenshaw,29-1745459,,holerenshaw3u@samsung.com,Female,7,13,"Hospira, Inc.",PDAT,Offer Accepted,FY20 P2,National,PROD STAFF,MS&P CIS,AFES
Darren,Cletus,Engel,56-9305135,,cengel3v@cornell.edu,Male,14,1,"Preferred Pharmaceuticals, Inc.",Internal Mobility,Offer Accepted,FY20 P5,Fin Risk Trans & Restructuring,PROD STAFF,MS&P CIS,PaCS
Vi,Hardy,Monument,99-6766722,,hmonument3w@gravatar.com,Female,15,9,"Alvogen, Inc.",CTH to FTE,Placed on Hold,FY20 P5,Risk Intelligence,PROD STAFF,MS&P CIS,ValueD
Gerry,Dill,Abbotts,24-0732786,,dabbotts3x@opera.com,Male,21,3,Taylor James LTD,PDAT,Joined,FY20 P3,Risk Intelligence,PROD STAFF,MS&P CIS,PaCS
Cy,Fields,Smithers,30-5405166,,fsmithers3y@japanpost.jp,Male,20,9,American Health Packaging,Vendor,Placed on Hold,FY20 P4,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,ValueD
Tamiko,Dalton,Taplow,91-2116635,,dtaplow3z@hostgator.com,Female,3,18,"Preferred Pharmaceuticals, Inc.",CTH to FTE,Placed on Hold,FY20 P5,Risk Intelligence,PROD STAFF,MS&P CIS,ValueD
Daffi,Upton,Glyn,88-2597054,,uglyn40@ezinearticles.com,Female,7,17,DR LIN SKINCARE,PDAT,Joined,FY20 P5,Assurance & Internal Audit,PROD STAFF,MS&P CIS,PaCS
Camellia,Gaile,Wain,55-0219543,,gwain41@networksolutions.com,Female,15,3,"ALK-Abello, Inc.",PDAT,Current Orderboard,FY20 P6,Risk Intelligence,PROD STAFF,MS&P CIS,ValueD
Foster,Northrop,Dalrymple,88-7432358,,ndalrymple42@oracle.com,Male,4,6,Reckitt Benckiser LLC,Internal Mobility,Joined,FY20 P1,Forensic,PROD STAFF,MS&P CIS,PaCS
Edsel,Donavon,Tranter,03-9381972,,dtranter43@soundcloud.com,Male,2,6,"Nelco Laboratories, Inc.",PDAT,Placed on Hold,FY20 P2,Forensic,PROD STAFF,MS&P CIS,ValueD
Oralie,Gabriele,Sneyd,56-0531246,,gsneyd44@over-blog.com,Female,5,6,Bryant Ranch Prepack,CTH to FTE,Offer Accepted,FY20 P1,Risk Intelligence,PROD STAFF,MS&P CIS,AFES
Sonnie,Bobbie,Hairs,74-7491534,,bhairs45@people.com.cn,Male,18,15,"ALK-Abello, Inc.",Internal Mobility,Current Orderboard,FY20 P4,National,PROD STAFF,MS&P CIS,AFES
Rosabella,Chandler,Redmile,30-2457715,,credmile46@nbcnews.com,Female,17,22,Heritage Pharmaceuticals Inc.,PDAT,Placed on Hold,FY20 P3,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,ValueD
Lila,Nolly,Skelington,19-1377295,,nskelington47@lulu.com,Female,18,1,Parfums Christian Dior,CTH to FTE,Joined,FY20 P3,Forensic,PROD STAFF,MS&P CIS,ValueD
Ilyse,Tomkin,Barkus,73-9959030,,tbarkus48@baidu.com,Female,6,20,Chain Drug Consortium,Internal Mobility,Offer Accepted,FY20 P1,Fin Risk Trans & Restructuring,PROD STAFF,MS&P CIS,PaCS
Mavra,Jens,Kerswell,71-3741061,,jkerswell49@prweb.com,Female,10,3,Topco Associates LLC,PDAT,Joined,FY20 P1,National,PROD STAFF,MS&P CIS,AFES
Ludovika,Moises,Smithson,48-4573880,,msmithson4a@cafepress.com,Female,9,19,"Fenwal, Inc.",CTH to FTE,Joined,FY20 P6,Assurance & Internal Audit,PROD STAFF,MS&P CIS,ValueD
Kally,Salim,Goskar,97-8778838,,sgoskar4b@php.net,Female,9,6,"Blacksmith Brands, Inc.",CTH to FTE,Joined,FY20 P3,Fin Risk Trans & Restructuring,PROD STAFF,MS&P CIS,ValueD
Vale,Sloan,Sefton,93-1272987,,ssefton4c@myspace.com,Male,22,14,Access Business Group LLC,PDAT,Offer Accepted,FY20 P5,Forensic,PROD STAFF,MS&P CIS,PaCS
Cosette,Bronny,Coil,21-8108793,,bcoil4d@mapquest.com,Female,16,18,Perrigo New York Inc,Vendor,Current Orderboard,FY20 P5,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,PaCS
Darbee,Arther,Jovanovic,06-4412769,,ajovanovic4e@alexa.com,Male,18,22,Ventura Corporation Ltd.,Vendor,Placed on Hold,FY20 P5,National,PROD STAFF,MS&P CIS,PaCS
Cello,Arie,Pebworth,19-9783226,,apebworth4f@goo.ne.jp,Male,16,20,ARAMIS INC.,Vendor,Joined,FY20 P2,National,PROD STAFF,MS&P CIS,ValueD
Kareem,Cointon,Daniellot,61-1016758,,cdaniellot4g@sciencedaily.com,Male,3,15,Procter & Gamble Manufacturing Company,PDAT,Joined,FY20 P2,Assurance & Internal Audit,PROD STAFF,MS&P CIS,ValueD
Thadeus,Sully,Tudbald,38-2053773,,studbald4h@mit.edu,Male,4,9,"Antigen Laboratories, Inc.",PDAT,Current Orderboard,FY20 P1,Fin Risk Trans & Restructuring,PROD STAFF,MS&P CIS,AFES
Diane-marie,Tabby,Pyke,77-6218101,,tpyke4i@bbb.org,Female,17,3,REMEDYREPACK INC.,Internal Mobility,Current Orderboard,FY20 P3,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,AFES
Avery,Edd,Raggles,16-1665486,,eraggles4j@feedburner.com,Male,13,11,"Jiangsu Province JianErKang Medical Dressing Co. ,Ltd.",Vendor,Placed on Hold,FY20 P1,Risk Intelligence,PROD STAFF,MS&P CIS,AFES
Violante,Leicester,Robke,49-3860580,,lrobke4k@ted.com,Female,18,23,"AvKARE, Inc.",Vendor,Joined,FY20 P2,Assurance & Internal Audit,PROD STAFF,MS&P CIS,ValueD
Coraline,Angie,Lissandre,47-7052478,,alissandre4l@abc.net.au,Female,15,5,Citron Pharma LLC,Vendor,Joined,FY20 P6,National,PROD STAFF,MS&P CIS,AFES
Jessamine,Orlan,Foggarty,54-5848838,,ofoggarty4m@jiathis.com,Female,9,10,"SJ Creations, Inc.",CTH to FTE,Current Orderboard,FY20 P5,Forensic,PROD STAFF,MS&P CIS,ValueD
Aube,Orson,Houlworth,17-4747466,,ohoulworth4n@tumblr.com,Male,12,25,"Antigen Laboratories, Inc.",Vendor,Current Orderboard,FY20 P3,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,AFES
Carolin,Tam,Bedingfield,15-0865455,,tbedingfield4o@blinklist.com,Female,6,15,Procter & Gamble Manufacturing Company,Vendor,Placed on Hold,FY20 P6,Forensic,PROD STAFF,MS&P CIS,ValueD
Glendon,Erl,Stathers,13-3458153,,estathers4p@t.co,Male,17,17,"Physicians Total Care, Inc.",PDAT,Placed on Hold,FY20 P2,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,PaCS
Sayer,Hamilton,Fabbri,34-5125348,,hfabbri4q@google.com.au,Male,19,4,"Physicians Total Care, Inc.",PDAT,Placed on Hold,FY20 P2,National,PROD STAFF,MS&P CIS,AFES
Jonathon,Laurens,Kender,68-0613708,,lkender4r@sfgate.com,Male,14,18,WALGREEN CO.,Vendor,Current Orderboard,FY20 P2,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,AFES
Joey,Hurlee,Pohling,43-0384235,,hpohling4s@ezinearticles.com,Male,17,5,Select Brand,PDAT,Current Orderboard,FY20 P1,Forensic,PROD STAFF,MS&P CIS,AFES
Fabio,Den,Dantesia,80-0031642,,ddantesia4t@tripod.com,Male,6,5,"Larken Laboratories, Inc.",Vendor,Placed on Hold,FY20 P1,Fin Risk Trans & Restructuring,PROD STAFF,MS&P CIS,PaCS
Justen,Mahmoud,Farbrother,93-0137024,,mfarbrother4u@quantcast.com,Male,14,4,Publix Super Markets Inc,CTH to FTE,Current Orderboard,FY20 P3,Forensic,PROD STAFF,MS&P CIS,ValueD
Laird,Neils,Vispo,12-6167797,,nvispo4v@sfgate.com,Male,7,14,Cardinal Health,CTH to FTE,Current Orderboard,FY20 P5,Risk Intelligence,PROD STAFF,MS&P CIS,AFES
Thorstein,Skippy,Pietesch,15-6317558,,spietesch4w@addtoany.com,Male,16,9,Sun Pharma Global Inc.,Internal Mobility,Offer Accepted,FY20 P4,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,ValueD
Forbes,Skelly,Mosey,76-6682533,,smosey4x@lycos.com,Male,14,8,Widepipe Corp,PDAT,Current Orderboard,FY20 P2,Assurance & Internal Audit,PROD STAFF,MS&P CIS,AFES
Arlena,Foss,Lidierth,76-4354891,,flidierth4y@live.com,Female,4,21,"Takeda Pharmaceuticals America, Inc.",CTH to FTE,Placed on Hold,FY20 P1,Assurance & Internal Audit,PROD STAFF,MS&P CIS,ValueD
Ty,Cristiano,Cartmail,41-9749679,,ccartmail4z@nbcnews.com,Male,23,4,Heatmax Inc.,PDAT,Placed on Hold,FY20 P2,Risk Intelligence,PROD STAFF,MS&P CIS,ValueD
Bartolomeo,Anton,Wims,30-8567438,,awims50@cafepress.com,Male,21,21,Clinical Solutions Wholesale,Vendor,Offer Accepted,FY20 P1,Assurance & Internal Audit,PROD STAFF,MS&P CIS,ValueD
Almeta,Ernesto,Keedwell,78-7240769,,ekeedwell51@sphinn.com,Female,21,5,"UDL Laboratories, Inc.",CTH to FTE,Current Orderboard,FY20 P1,Risk Intelligence,PROD STAFF,MS&P CIS,AFES
Josephina,Otes,Wallace,43-6551591,,owallace52@studiopress.com,Female,20,16,Mylan Pharmaceuticals Inc.,Internal Mobility,Current Orderboard,FY20 P2,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,PaCS
Concordia,Magnum,Mersh,18-2219523,,mmersh53@hexun.com,Female,5,3,"Deseret Biologicals, Inc.",CTH to FTE,Offer Accepted,FY20 P3,National,PROD STAFF,MS&P CIS,PaCS
Tonnie,Gabriel,Tomczynski,88-9400049,,gtomczynski54@mozilla.com,Male,5,11,"PD-Rx Pharmaceuticals, Inc.",Internal Mobility,Offer Accepted,FY20 P1,Fin Risk Trans & Restructuring,PROD STAFF,MS&P CIS,ValueD
Valle,Don,Brotherhed,74-5080279,,dbrotherhed55@google.cn,Male,7,4,"Med-Health Pharma, LLC",CTH to FTE,Offer Accepted,FY20 P4,Assurance & Internal Audit,PROD STAFF,MS&P CIS,ValueD
Cathleen,Pacorro,Kiff,50-3614933,,pkiff56@cdbaby.com,Female,15,20,The Dial Corporation,CTH to FTE,Current Orderboard,FY20 P5,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,AFES
Gannon,Cirstoforo,Brunon,26-0952261,,cbrunon57@hubpages.com,Male,7,7,Cardinal Health,Internal Mobility,Offer Accepted,FY20 P6,Risk Intelligence,PROD STAFF,MS&P CIS,ValueD
Joanna,Garold,Grindrod,08-2450360,,ggrindrod58@cisco.com,Female,7,25,"Dispensing Solutions, Inc.",CTH to FTE,Placed on Hold,FY20 P2,Forensic,PROD STAFF,MS&P CIS,ValueD
Glynis,Jarib,Daftor,08-1010324,,jdaftor59@wiley.com,Female,4,19,Ventura International LTD,PDAT,Joined,FY20 P2,Forensic,PROD STAFF,MS&P CIS,AFES
Janene,Derk,Phlippi,92-0080349,,dphlippi5a@wikia.com,Female,4,5,"PD-Rx Pharmaceuticals, Inc.",PDAT,Placed on Hold,FY20 P5,National,PROD STAFF,MS&P CIS,PaCS
Hestia,Hersch,Rowlands,54-4999560,,hrowlands5b@ifeng.com,Female,13,7,Sagent Pharmaceuticals,CTH to FTE,Placed on Hold,FY20 P3,Assurance & Internal Audit,PROD STAFF,MS&P CIS,PaCS
Elset,Jdavie,Mee,91-1997997,,jmee5c@mozilla.com,Female,9,6,Pacific Naturals,PDAT,Offer Accepted,FY20 P1,Assurance & Internal Audit,PROD STAFF,MS&P CIS,AFES
Mohandas,Vincenz,Strothers,51-8084184,,vstrothers5d@google.com.hk,Male,19,7,Perrigo New York Inc,Vendor,Placed on Hold,FY20 P3,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,AFES
Berthe,Adelbert,Richardt,56-8579368,,arichardt5e@alibaba.com,Female,14,18,Dr. Reddy's Laboratories Limited,Vendor,Placed on Hold,FY20 P4,Risk Intelligence,PROD STAFF,MS&P CIS,ValueD
Erhard,Cecilio,Bygate,28-5436394,,cbygate5f@creativecommons.org,Male,2,17,Apotheca Company,Internal Mobility,Offer Accepted,FY20 P6,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,AFES
Vivyanne,Franzen,Lindenstrauss,13-0890014,,flindenstrauss5g@irs.gov,Female,10,23,"Centrix Pharmaceutical, Inc.",PDAT,Current Orderboard,FY20 P4,Assurance & Internal Audit,PROD STAFF,MS&P CIS,PaCS
Burg,Carr,Goede,10-7822045,,cgoede5h@slideshare.net,Male,6,2,Syntrion GmbH,Vendor,Placed on Hold,FY20 P5,Fin Risk Trans & Restructuring,PROD STAFF,MS&P CIS,PaCS
Angus,Lennard,Kiddy,65-4110714,,lkiddy5i@miitbeian.gov.cn,Male,18,6,Medicine Shoppe International Inc,Vendor,Placed on Hold,FY20 P1,Fin Risk Trans & Restructuring,PROD STAFF,MS&P CIS,ValueD
Natasha,Dore,Comiskey,36-2787051,,dcomiskey5j@symantec.com,Female,7,13,"Elizabeth Arden, Inc",Internal Mobility,Current Orderboard,FY20 P2,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,AFES
Rob,Beck,Lonsbrough,16-9876851,,blonsbrough5k@infoseek.co.jp,Male,24,24,Aidarex Pharmaceuticals LLC,PDAT,Placed on Hold,FY20 P6,Forensic,PROD STAFF,MS&P CIS,AFES
Sybila,Syman,Atkins,07-1545294,,satkins5l@state.tx.us,Female,4,20,Qualitest Pharmaceuticals,Internal Mobility,Current Orderboard,FY20 P2,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,PaCS
Elli,Shepperd,Coleby,79-4956513,,scoleby5m@mtv.com,Female,22,14,Air Liquide America L.P.,PDAT,Placed on Hold,FY20 P2,National,PROD STAFF,MS&P CIS,AFES
Bjorn,Christoph,Verriour,48-4473030,,cverriour5n@addthis.com,Male,13,5,CVS Pharmacy,Internal Mobility,Offer Accepted,FY20 P2,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,ValueD
Leigha,Beau,Lissandrini,23-8909104,,blissandrini5o@mysql.com,Female,7,25,"Roxane Laboratories, Inc.",CTH to FTE,Placed on Hold,FY20 P3,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,ValueD
Dasi,Gaylord,Sabban,82-0667950,,gsabban5p@liveinternet.ru,Female,10,9,CVS,CTH to FTE,Placed on Hold,FY20 P6,Fin Risk Trans & Restructuring,PROD STAFF,MS&P CIS,AFES
Angelika,Gauthier,Dawidowitsch,50-4770033,,gdawidowitsch5q@icq.com,Female,15,8,Small World Trading Company,CTH to FTE,Joined,FY20 P6,National,PROD STAFF,MS&P CIS,PaCS
Karney,Kipper,Hurche,82-0296011,,khurche5r@miibeian.gov.cn,Male,2,20,Apotheca Company,Vendor,Current Orderboard,FY20 P4,National,PROD STAFF,MS&P CIS,PaCS
Sherwynd,Burtie,Tumber,87-0004459,,btumber5s@freewebs.com,Male,9,1,REMEDYREPACK INC.,Vendor,Offer Accepted,FY20 P5,Fin Risk Trans & Restructuring,PROD STAFF,MS&P CIS,ValueD
Lise,Elvis,Cheyne,08-7601874,,echeyne5t@xinhuanet.com,Female,12,22,"APP Pharmaceuticals, LLC",CTH to FTE,Current Orderboard,FY20 P6,Assurance & Internal Audit,PROD STAFF,MS&P CIS,AFES
Brigida,Jodi,Mellenby,60-4678628,,jmellenby5u@csmonitor.com,Female,17,11,"Church & Dwight Co., Inc.",Vendor,Offer Accepted,FY20 P4,Assurance & Internal Audit,PROD STAFF,MS&P CIS,ValueD
Brana,Edvard,Pfeffle,46-6467721,,epfeffle5v@hatena.ne.jp,Female,14,16,"Preferred Pharmaceuticals, Inc",PDAT,Current Orderboard,FY20 P3,Fin Risk Trans & Restructuring,PROD STAFF,MS&P CIS,PaCS
Laurent,Shane,Bednall,09-7415666,,sbednall5w@oracle.com,Male,9,11,"Physicians Total Care, Inc.",CTH to FTE,Offer Accepted,FY20 P3,Fin Risk Trans & Restructuring,PROD STAFF,MS&P CIS,PaCS
Marylin,Tye,Aughtie,38-9572092,,taughtie5x@networksolutions.com,Female,18,22,Polygen Pharmaceuticals LLC,Internal Mobility,Current Orderboard,FY20 P4,Assurance & Internal Audit,PROD STAFF,MS&P CIS,AFES
Clareta,Benjy,Ecclestone,49-5712237,,becclestone5y@tuttocitta.it,Female,13,15,Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,PDAT,Placed on Hold,FY20 P4,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,PaCS
Heather,Ram,d'Escoffier,96-1429931,,rdescoffier5z@japanpost.jp,Female,17,8,Meijer Distribution Inc,Internal Mobility,Current Orderboard,FY20 P1,Assurance & Internal Audit,PROD STAFF,MS&P CIS,PaCS
Haslett,Cordell,Rennard,66-4837640,,crennard60@dion.ne.jp,Male,17,18,Formula Corp.,CTH to FTE,Offer Accepted,FY20 P6,Fin Risk Trans & Restructuring,PROD STAFF,MS&P CIS,PaCS
Janella,Remus,Brabon,09-4752916,,rbrabon61@yellowpages.com,Female,8,11,"International Labs, Inc.",PDAT,Placed on Hold,FY20 P3,Forensic,PROD STAFF,MS&P CIS,AFES
Othilia,Bartie,Sivior,60-1834576,,bsivior62@sbwire.com,Female,8,11,"Medline Industries, Inc.",PDAT,Joined,FY20 P3,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,ValueD
Obediah,Jock,Mc Coughan,02-9202194,,jmccoughan63@fema.gov,Male,19,4,Cardinal Health,CTH to FTE,Offer Accepted,FY20 P2,Fin Risk Trans & Restructuring,PROD STAFF,MS&P CIS,ValueD
Konstance,Demetre,Ashwell,69-7579862,,dashwell64@utexas.edu,Female,14,21,"Preferred Pharmaceuticals, Inc",CTH to FTE,Joined,FY20 P6,Fin Risk Trans & Restructuring,PROD STAFF,MS&P CIS,ValueD
Ethe,Ansell,Salla,42-9450136,,asalla65@ft.com,Male,14,7,"Physicians Total Care, Inc.",Internal Mobility,Joined,FY20 P4,Assurance & Internal Audit,PROD STAFF,MS&P CIS,AFES
Clem,Farrel,Jouannin,17-4851497,,fjouannin66@com.com,Male,22,3,CVS Pharmacy,PDAT,Placed on Hold,FY20 P1,National,PROD STAFF,MS&P CIS,AFES
Florri,Alvie,Burchett,64-6294452,,aburchett67@imgur.com,Female,22,6,Seton Pharmaceuticals,CTH to FTE,Offer Accepted,FY20 P4,National,PROD STAFF,MS&P CIS,AFES
Jasmine,Emory,Caccavale,67-3314929,,ecaccavale68@apache.org,Female,2,14,"Physicians Total Care, Inc.",CTH to FTE,Joined,FY20 P4,Assurance & Internal Audit,PROD STAFF,MS&P CIS,ValueD
Jamima,Gerry,Woodison,13-3818083,,gwoodison69@yandex.ru,Female,2,6,"Gensavis Pharmaceuticals, LLC",PDAT,Placed on Hold,FY20 P3,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,PaCS
Pacorro,Al,Sommersett,99-5078907,,asommersett6a@jigsy.com,Male,11,22,Aidarex Pharmaceuticals LLC,CTH to FTE,Joined,FY20 P4,Fin Risk Trans & Restructuring,PROD STAFF,MS&P CIS,PaCS
Inger,Troy,Benmore,64-8046631,,tbenmore6b@barnesandnoble.com,Male,13,13,"Aphena Pharma Solutions - Tennessee, Inc.",CTH to FTE,Offer Accepted,FY20 P3,National,PROD STAFF,MS&P CIS,ValueD
Devonna,Eugenius,Stolli,74-3080444,,estolli6c@globo.com,Female,22,20,Apotheca Company,CTH to FTE,Offer Accepted,FY20 P2,Risk Intelligence,PROD STAFF,MS&P CIS,AFES
Melisenda,Reagen,Hamsley,48-8524536,,rhamsley6d@buzzfeed.com,Female,16,25,Neutrogena Corporation,CTH to FTE,Current Orderboard,FY20 P6,Risk Intelligence,PROD STAFF,MS&P CIS,ValueD
Jilly,Joey,Zorer,61-0196942,,jzorer6e@miitbeian.gov.cn,Female,12,19,CVS Pharmacy,PDAT,Placed on Hold,FY20 P2,Forensic,PROD STAFF,MS&P CIS,ValueD
Leola,Marlin,MacMenamy,20-0641152,,mmacmenamy6f@cloudflare.com,Female,21,18,"Physicians Total Care, Inc.",Vendor,Current Orderboard,FY20 P1,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,AFES
Gordan,Morgan,Hanley,30-9415300,,mhanley6g@va.gov,Male,7,5,A-S Medication Solutions LLC,PDAT,Joined,FY20 P5,Risk Intelligence,PROD STAFF,MS&P CIS,AFES
Lauri,Sherman,Stanluck,41-5649238,,sstanluck6h@hc360.com,Female,12,5,"EQUATE (Walmart Stores, Inc.)",PDAT,Current Orderboard,FY20 P1,National,PROD STAFF,MS&P CIS,AFES
Kalie,Mar,Woodier,66-4757708,,mwoodier6i@wikipedia.org,Female,23,4,Sagent Pharmaceuticals,CTH to FTE,Current Orderboard,FY20 P4,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,ValueD
Addia,Raddie,Adamson,39-6923423,,radamson6j@usatoday.com,Female,9,15,Target Corporation,Internal Mobility,Offer Accepted,FY20 P2,National,PROD STAFF,MS&P CIS,AFES
Lillian,Lazaro,Weiss,71-0705911,,lweiss6k@yolasite.com,Female,4,25,Ole Henriksen,Vendor,Joined,FY20 P5,Assurance & Internal Audit,PROD STAFF,MS&P CIS,AFES
Jackie,Pearce,Murgatroyd,97-4437680,,pmurgatroyd6l@redcross.org,Male,1,11,KAISER FOUNDATION HOSPITALS,Vendor,Current Orderboard,FY20 P6,Fin Risk Trans & Restructuring,PROD STAFF,MS&P CIS,ValueD
Mart,Randall,Carrabot,67-6376467,,rcarrabot6m@nsw.gov.au,Male,2,1,Kroger Company,PDAT,Current Orderboard,FY20 P4,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,ValueD
Hannah,Frazer,Stammirs,55-0326415,,fstammirs6n@networksolutions.com,Female,22,9,"MedVantx, Inc.",CTH to FTE,Joined,FY20 P5,Assurance & Internal Audit,PROD STAFF,MS&P CIS,PaCS
Sophi,Irwinn,Lamburn,56-0387029,,ilamburn6o@addthis.com,Female,1,11,Perrigo New York Inc,Internal Mobility,Current Orderboard,FY20 P1,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,ValueD
Alis,Bil,Stubs,02-0618423,,bstubs6p@360.cn,Female,12,10,"MSD Consumer Care, Inc.",CTH to FTE,Current Orderboard,FY20 P5,Forensic,PROD STAFF,MS&P CIS,ValueD
Nathaniel,Darrick,Guittet,54-6684644,,dguittet6q@mysql.com,Male,7,1,"MSD Consumer Care, Inc.",CTH to FTE,Offer Accepted,FY20 P1,Risk Intelligence,PROD STAFF,MS&P CIS,AFES
Tandie,Blaine,Sweeny,29-8646705,,bsweeny6r@squarespace.com,Female,11,6,"ALK-Abello, Inc.",PDAT,Offer Accepted,FY20 P5,Risk Intelligence,PROD STAFF,MS&P CIS,AFES
Moria,Jermain,Van der Daal,68-0943264,,jvanderdaal6s@vinaora.com,Female,18,4,"MedVantx, Inc.",Vendor,Offer Accepted,FY20 P1,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,ValueD
Brandea,Vinny,Baume,85-4671572,,vbaume6t@harvard.edu,Female,21,14,RAANI CORPORATION,Vendor,Offer Accepted,FY20 P4,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,PaCS
Winona,Egbert,Spick,53-6164820,,espick6u@hhs.gov,Female,15,10,Rite Aid,PDAT,Joined,FY20 P3,Risk Intelligence,PROD STAFF,MS&P CIS,AFES
Anthony,Javier,Garrood,76-4531914,,jgarrood6v@reddit.com,Male,3,10,"Takeda Pharmaceuticals America, Inc.",Internal Mobility,Offer Accepted,FY20 P2,Forensic,PROD STAFF,MS&P CIS,AFES
Consuela,Marmaduke,Santorini,40-3597478,,msantorini6w@tamu.edu,Female,25,3,Choice Laboratories Limited,CTH to FTE,Joined,FY20 P5,Risk Intelligence,PROD STAFF,MS&P CIS,PaCS
Abbi,Shay,Troake,59-7645617,,stroake6x@quantcast.com,Female,3,11,Moore Medical LLC,Internal Mobility,Placed on Hold,FY20 P4,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,PaCS
Waldo,Randy,Barten,64-6994296,,rbarten6y@blogger.com,Male,8,9,"Fresenius Kabi USA, LLC",CTH to FTE,Joined,FY20 P6,Fin Risk Trans & Restructuring,PROD STAFF,MS&P CIS,PaCS
Zonda,Luigi,Gingedale,55-8058291,,lgingedale6z@naver.com,Female,23,5,Hevert Pharmaceuticals LLC,PDAT,Joined,FY20 P3,Forensic,PROD STAFF,MS&P CIS,ValueD
Toby,Kaspar,Sevin,86-9808444,,ksevin70@jigsy.com,Male,20,24,Legacy Pharmaceutical Packaging,Vendor,Joined,FY20 P3,Fin Risk Trans & Restructuring,PROD STAFF,MS&P CIS,AFES
Mathew,Barde,Gemson,91-7330455,,bgemson71@histats.com,Male,7,15,REMEDYREPACK INC.,Internal Mobility,Placed on Hold,FY20 P2,Forensic,PROD STAFF,MS&P CIS,PaCS
Sayers,Jermain,Haselup,59-2488532,,jhaselup72@myspace.com,Male,11,3,"International Medication Systems, Limited",CTH to FTE,Placed on Hold,FY20 P1,Forensic,PROD STAFF,MS&P CIS,AFES
