firstName,middleName,lastName,primaryContact,secondaryContact,emailAddress,gender,totalExperience,relevantExperience,lastCompany,candidateSource,onboardStatus,financialYear,marketOffering,marketSubBusinessLine,competency,subCompetency
Aldous,Karolina,Watsham,481-63-1220,364-35-3875,kwatsham3r@hexun.com,Male,11,2,Puce,PDAT,Joined,FY20 P1,National,PROD STAFF,MS&P,Decipher
Fernande,Barbee,Hoggetts,500-74-4210,525-22-1220,bhoggetts3s@de.vu,Female,15,10,Puce,Referral,Joined,FY20 P1,Forensic,PROD STAFF,MS&P LRA,TrueView
Micheil,Geralda,Khomin,850-32-6013,840-03-7022,gkhomin3t@pbs.org,Male,11,2,Pink,CTH to FTE,Joined,FY20 P1,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,ValueD
Tonya,Sherill,Chilcotte,453-82-9127,423-86-2825,schilcotte3u@china.com.cn,Female,7,12,Purple,Referral,Joined,FY20 P1,Risk Intelligence,PROD STAFF,MS&P LRA,TrueView
Etienne,Belita,Lantuff,141-72-6723,465-31-8681,blantuff3v@google.com.br,Male,14,6,Blue,Referral,Joined,FY20 P1,Risk Intelligence,PROD STAFF,MS&P,Decipher
Randi,Fayth,McConnachie,375-82-3244,842-97-5922,fmcconnachie3w@pcworld.com,Male,5,11,Mauv,Vendor,Joined,FY20 P1,National,PROD STAFF,Securitization,Financial Technology
Phelia,Flor,Snowling,236-08-2133,142-77-8818,fsnowling3x@opera.com,Female,15,12,Teal,Referral,Joined,FY20 P1,Forensic,PROD STAFF,MS&P ACTT,Prod Staff
Giusto,Evie,Brewse,266-06-0432,682-27-0426,ebrewse3y@usgs.gov,Male,7,8,Mauv,CTH to FTE,Joined,FY20 P1,Fin Risk Trans & Restructuring,PROD STAFF,MS&P CIS,ValueD
Koenraad,Agata,Neill,392-82-2943,720-74-1483,aneill3z@cnn.com,Male,1,18,Green,PDAT,Joined,FY20 P1,Forensic,PROD STAFF,MS&P,Decipher
Nancey,Erin,Howroyd,567-46-9232,828-32-6697,ehowroyd40@fema.gov,Female,5,6,Teal,Referral,Joined,FY20 P1,Fin Risk Trans & Restructuring,PROD STAFF,Securitization,Financial Technology
Olenka,Heddie,Tansey,678-88-6515,495-63-7520,htansey41@hao123.com,Female,19,19,Purple,Referral,Joined,FY20 P1,Regulatory & Operational Risk,PROD STAFF,Securitization,Financial Technology
Terri-jo,Annora,Coop,548-80-8089,502-38-4780,acoop42@pbs.org,Female,10,1,Aquamarine,CTH to FTE,Joined,FY20 P1,Assurance & Internal Audit,PROD STAFF,Securitization,Financial Technology
Emmeline,Mari,Korejs,384-94-8211,600-43-8568,mkorejs43@auda.org.au,Female,18,4,Green,Net Sourcing,Joined,FY20 P1,Fin Risk Trans & Restructuring,PROD STAFF,D3,SQL DBA
Huey,Vina,Bagguley,619-28-0785,633-18-5934,vbagguley44@slideshare.net,Male,6,15,Teal,Referral,Joined,FY20 P1,Forensic,PROD STAFF,MS&P CIS,ValueD
Roman,Ira,Myers,152-57-5857,449-09-9384,imyers45@fema.gov,Male,12,13,Orange,CTH to FTE,Joined,FY20 P1,Assurance & Internal Audit,PROD STAFF,MS&P,Decipher
Heidie,Abigail,Caldaro,232-63-5193,376-21-6840,acaldaro46@sfgate.com,Female,18,18,Mauv,CTH to FTE,Joined,FY20 P1,National,PROD STAFF,MS&P ACTT,Prod Staff
Gabi,Deane,Currao,748-55-0095,656-80-6222,dcurrao47@wikipedia.org,Female,8,2,Pink,Net Sourcing,Joined,FY20 P1,Risk Intelligence,PROD STAFF,MS&P,Decipher
Bartholomeo,Cindi,Ollive,181-76-1892,289-46-3463,collive48@census.gov,Male,9,5,Purple,Referral,Joined,FY20 P1,National,PROD STAFF,MS&P CIS,ValueD
Hynda,Timothea,Marden,617-58-8201,379-88-4020,tmarden49@barnesandnoble.com,Female,5,10,Khaki,CTH to FTE,Joined,FY20 P1,Risk Intelligence,PROD STAFF,Securitization,Financial Technology
Hobart,Angelique,Elverstone,667-31-5420,519-38-8152,aelverstone4a@patch.com,Male,5,5,Mauv,CTH to FTE,Joined,FY20 P1,Forensic,PROD STAFF,MS&P CIS,ValueD
Solomon,Pavia,Mc Caughen,674-96-2128,135-10-9437,pmccaughen4b@unesco.org,Male,14,6,Puce,CTH to FTE,Joined,FY20 P1,Fin Risk Trans & Restructuring,PROD STAFF,MS&P,Decipher
Virginia,Anabal,Butland,596-31-0108,891-71-3767,abutland4c@rambler.ru,Female,2,14,Teal,PDAT,Joined,FY20 P1,Risk Intelligence,PROD STAFF,Securitization,Financial Technology
Hewie,Suzanna,Norwood,624-80-4426,769-80-5396,snorwood4d@arizona.edu,Male,14,6,Pink,Internal Mobility,Joined,FY20 P1,National,PROD STAFF,D3,SQL DBA
Patrizia,Eliza,Brewett,739-10-7959,780-49-8162,ebrewett4e@examiner.com,Female,18,11,Red,Vendor,Joined,FY20 P1,Assurance & Internal Audit,PROD STAFF,MS&P,Decipher
Hobard,Donelle,Buckleigh,715-20-7687,586-20-3923,dbuckleigh4f@infoseek.co.jp,Male,5,17,Puce,PDAT,Joined,FY20 P1,National,PROD STAFF,MS&P ACTT,Prod Staff
Candy,Nicholle,Dillon,711-24-3448,744-51-8117,ndillon4g@cnbc.com,Female,16,5,Indigo,Net Sourcing,Joined,FY20 P1,Fin Risk Trans & Restructuring,PROD STAFF,Controllership,Accounting Technology
Jorry,Ulrika,Fonteyne,896-49-1064,500-28-7829,ufonteyne4h@omniture.com,Female,3,16,Indigo,Referral,Joined,FY20 P1,National,PROD STAFF,D3,SQL DBA
Danette,Ddene,Britney,809-97-9730,510-25-2562,dbritney4i@liveinternet.ru,Female,5,5,Violet,Net Sourcing,Joined,FY20 P1,Fin Risk Trans & Restructuring,PROD STAFF,Securitization,Financial Technology
Kaitlin,Gertruda,Sterte,352-95-1883,185-61-8703,gsterte4j@thetimes.co.uk,Female,10,3,Pink,CTH to FTE,Joined,FY20 P1,Risk Intelligence,PROD STAFF,MS&P ACTT,Prod Staff
Vick,Paula,Tomsu,731-44-4388,332-22-5354,ptomsu4k@alibaba.com,Male,20,14,Teal,Referral,Joined,FY20 P1,Forensic,PROD STAFF,MS&P ACTT,Prod Staff
Pierce,Margo,Gilchrist,577-41-2651,210-80-9091,mgilchrist4l@alibaba.com,Male,14,17,Indigo,CTH to FTE,Joined,FY20 P1,Risk Intelligence,PROD STAFF,Controllership,Accounting Technology
Andris,Kimbra,Merkel,796-98-7658,328-47-1260,kmerkel4m@biglobe.ne.jp,Male,17,10,Puce,Referral,Joined,FY20 P1,Regulatory & Operational Risk,PROD STAFF,MS&P ACTT,Prod Staff
Georg,Devonna,Ashton,769-41-9195,380-80-4149,dashton4n@webmd.com,Male,7,10,Green,Internal Mobility,Joined,FY20 P1,National,PROD STAFF,MS&P,QSpace
Zandra,Sadella,Alban,288-99-4704,360-07-7501,salban4o@google.it,Female,13,13,Khaki,PDAT,Joined,FY20 P1,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,ValueD
Sutherlan,Renelle,Gewer,261-58-4181,179-28-8642,rgewer4p@pinterest.com,Male,11,14,Purple,PDAT,Joined,FY20 P1,National,PROD STAFF,Securitization,Financial Technology
Tillie,Hyacinthe,Sharper,422-90-3671,245-43-9494,hsharper4q@comcast.net,Female,14,20,Blue,Referral,Joined,FY20 P1,Risk Intelligence,PROD STAFF,MS&P LRA,TrueView
Lauree,Cherianne,Pitsall,210-99-9873,773-88-3938,cpitsall4r@mediafire.com,Female,13,4,Red,CTH to FTE,Joined,FY20 P1,National,PROD STAFF,Controllership,Accounting Technology
Karena,Sherry,Chalice,879-16-1654,837-15-1205,schalice4s@unicef.org,Female,17,14,Orange,CTH to FTE,Joined,FY20 P1,Assurance & Internal Audit,PROD STAFF,MS&P ACTT,Prod Staff
Angela,Georgeanne,Sleightholm,790-77-6442,446-17-9275,gsleightholm4t@economist.com,Female,18,8,Pink,Internal Mobility,Joined,FY20 P1,Fin Risk Trans & Restructuring,PROD STAFF,MS&P ACTT,Prod Staff
Jacklin,Melly,Kryszka,533-80-5043,570-73-9354,mkryszka4u@dropbox.com,Female,17,17,Orange,CTH to FTE,Joined,FY20 P1,National,PROD STAFF,MS&P CIS,ValueD
Meryl,Alexia,Sutherley,510-28-3158,856-88-0165,asutherley4v@usnews.com,Male,14,3,Indigo,Internal Mobility,Joined,FY20 P1,National,PROD STAFF,MS&P CIS,ValueD
Edwin,Hollyanne,Tonry,827-91-8593,466-76-9177,htonry4w@ebay.com,Male,15,5,Purple,Internal Mobility,Joined,FY20 P1,Risk Intelligence,PROD STAFF,MS&P CIS,ValueD
Milzie,Cleo,Biggins,344-55-5379,175-39-5917,cbiggins4x@oaic.gov.au,Female,10,19,Indigo,Vendor,Joined,FY20 P1,Fin Risk Trans & Restructuring,PROD STAFF,MS&P,QSpace
Allegra,Christy,Fretter,753-49-7571,826-16-6327,cfretter4y@eventbrite.com,Female,8,9,Mauv,Net Sourcing,Joined,FY20 P1,Assurance & Internal Audit,PROD STAFF,Controllership,Accounting Technology
Kaine,Clemmie,Baugham,458-67-5980,627-74-8456,cbaugham4z@cbslocal.com,Male,9,20,Purple,CTH to FTE,Joined,FY20 P1,Risk Intelligence,PROD STAFF,Controllership,Accounting Technology
Wilfred,Winona,Blenkensop,493-63-0540,394-93-1513,wblenkensop50@eventbrite.com,Male,5,2,Orange,Vendor,Joined,FY20 P1,Fin Risk Trans & Restructuring,PROD STAFF,MS&P LRA,TrueView
Erny,Colette,Eldrid,576-72-3875,788-46-4946,celdrid51@people.com.cn,Male,13,3,Crimson,Net Sourcing,Joined,FY20 P1,Fin Risk Trans & Restructuring,PROD STAFF,MS&P,QSpace
Gwenny,Joela,Lesly,253-13-7918,801-10-4866,jlesly52@marketwatch.com,Female,5,14,Indigo,Internal Mobility,Joined,FY20 P1,Forensic,PROD STAFF,MS&P ACTT,Prod Staff
Fedora,Corissa,Garmanson,560-90-1610,433-75-2300,cgarmanson53@timesonline.co.uk,Female,18,7,Teal,Vendor,Joined,FY20 P1,Regulatory & Operational Risk,PROD STAFF,Controllership,Accounting Technology
Adamo,Jaclyn,MacCartan,106-60-6080,103-66-2892,jmaccartan54@pagesperso-orange.fr,Male,18,12,Violet,Internal Mobility,Joined,FY20 P1,Regulatory & Operational Risk,PROD STAFF,D3,SQL DBA
Sal,Olwen,Squirrel,603-58-6164,769-90-1421,osquirrel55@hubpages.com,Female,14,11,Pink,Referral,Joined,FY20 P1,Regulatory & Operational Risk,PROD STAFF,MS&P LRA,TrueView
Zena,Aubry,Gebbie,462-28-5151,620-04-8620,agebbie56@deviantart.com,Female,12,19,Green,Vendor,Joined,FY20 P1,Forensic,PROD STAFF,MS&P LRA,TrueView
Ezri,Annis,Mottram,159-46-9176,588-59-4307,amottram57@wikispaces.com,Male,20,16,Violet,Vendor,Joined,FY20 P1,Assurance & Internal Audit,PROD STAFF,MS&P,QSpace
Juana,Madlen,Bonnell,262-53-3854,834-36-1387,mbonnell58@baidu.com,Female,14,17,Purple,Internal Mobility,Joined,FY20 P1,Regulatory & Operational Risk,PROD STAFF,MS&P ACTT,Prod Staff
David,Tabatha,Dungate,531-49-9010,395-43-3391,tdungate59@berkeley.edu,Male,11,4,Yellow,Net Sourcing,Joined,FY20 P1,Fin Risk Trans & Restructuring,PROD STAFF,MS&P ACTT,Prod Staff
Itch,Bari,Surman-Wells,466-81-8116,383-88-5514,bsurmanwells5a@abc.net.au,Male,2,4,Indigo,Vendor,Joined,FY20 P1,Assurance & Internal Audit,PROD STAFF,MS&P LRA,TrueView
Ellette,Rivy,Pietrusiak,597-65-7711,687-70-7565,rpietrusiak5b@symantec.com,Female,10,11,Purple,Internal Mobility,Joined,FY20 P1,Risk Intelligence,PROD STAFF,D3,SQL DBA
Lorne,Jo-ann,Slowgrove,274-07-4178,610-67-2294,jslowgrove5c@unicef.org,Male,19,7,Mauv,Referral,Joined,FY20 P1,Fin Risk Trans & Restructuring,PROD STAFF,MS&P,QSpace
Basilius,Rivy,Cicconettii,642-79-9207,573-40-2655,rcicconettii5d@google.es,Male,8,13,Orange,Internal Mobility,Joined,FY20 P1,Forensic,PROD STAFF,Controllership,Accounting Technology
Northrup,Sandy,Ringsell,490-19-7793,575-10-0308,sringsell5e@yelp.com,Male,8,1,Indigo,PDAT,Joined,FY20 P1,Forensic,PROD STAFF,D3,SQL DBA
Zachariah,Katy,Biggans,733-86-1302,533-38-0924,kbiggans5f@who.int,Male,8,10,Maroon,PDAT,Joined,FY20 P1,Fin Risk Trans & Restructuring,PROD STAFF,Securitization,Financial Technology
Babara,Neille,Bevington,637-09-7297,737-47-6102,nbevington5g@google.es,Female,7,16,Teal,PDAT,Joined,FY20 P1,Assurance & Internal Audit,PROD STAFF,MS&P LRA,TrueView
Minnnie,Delilah,Winnett,589-97-0941,134-17-3690,dwinnett5h@seattletimes.com,Female,17,16,Green,Vendor,Joined,FY20 P1,Forensic,PROD STAFF,MS&P CIS,ValueD
Garrik,Jyoti,Coiley,894-84-3358,187-24-3317,jcoiley5i@so-net.ne.jp,Male,3,4,Purple,Referral,Joined,FY20 P1,Assurance & Internal Audit,PROD STAFF,MS&P ACTT,Prod Staff
Nelle,Raeann,Demkowicz,766-53-0523,239-55-2897,rdemkowicz5j@vk.com,Female,11,18,Green,Net Sourcing,Joined,FY20 P1,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,ValueD
Ofilia,Zitella,Radclyffe,743-19-4382,509-42-0881,zradclyffe5k@ftc.gov,Female,4,6,Orange,PDAT,Joined,FY20 P1,Forensic,PROD STAFF,MS&P CIS,ValueD
Neal,Gussie,Elven,750-65-3907,449-98-4333,gelven5l@phpbb.com,Male,3,1,Puce,CTH to FTE,Joined,FY20 P1,Regulatory & Operational Risk,PROD STAFF,Controllership,Accounting Technology
Emylee,Ediva,Von Der Empten,229-81-1458,702-64-7259,evonderempten5m@unicef.org,Female,4,12,Indigo,Net Sourcing,Joined,FY20 P1,National,PROD STAFF,MS&P,QSpace
Abbott,Papagena,Palfrey,152-31-1533,635-63-5569,ppalfrey5n@webs.com,Male,15,17,Yellow,Vendor,Joined,FY20 P1,Forensic,PROD STAFF,Securitization,Financial Technology
Serge,Elisa,Burnep,596-77-8797,147-40-3988,eburnep5o@typepad.com,Male,12,16,Purple,Internal Mobility,Joined,FY20 P1,Regulatory & Operational Risk,PROD STAFF,MS&P ACTT,Prod Staff
Bessy,Carlin,Devanney,844-23-6610,265-36-0356,cdevanney5p@cam.ac.uk,Female,10,7,Aquamarine,Internal Mobility,Joined,FY20 P1,Assurance & Internal Audit,PROD STAFF,MS&P,QSpace
Desiree,Clarie,Sargent,685-75-9791,833-67-9946,csargent5q@theatlantic.com,Female,4,4,Violet,Net Sourcing,Joined,FY20 P1,Forensic,PROD STAFF,MS&P LRA,TrueView
Whitman,Julienne,Huddleston,217-84-1756,271-70-1725,jhuddleston5r@tripod.com,Male,16,16,Green,Net Sourcing,Joined,FY20 P1,National,PROD STAFF,MS&P CIS,ValueD
Aylmar,Ame,Pioch,169-87-4329,249-20-0462,apioch5s@networksolutions.com,Male,13,20,Aquamarine,PDAT,Joined,FY20 P1,Assurance & Internal Audit,PROD STAFF,MS&P ACTT,Prod Staff
Farleigh,Brinn,Westraw,889-72-5239,678-87-8843,bwestraw5t@bloglovin.com,Male,16,13,Maroon,Net Sourcing,Joined,FY20 P1,Regulatory & Operational Risk,PROD STAFF,Securitization,Financial Technology
Bertine,Kipp,Jeynes,141-22-3570,689-16-1121,kjeynes5u@toplist.cz,Female,10,14,Blue,Net Sourcing,Joined,FY20 P1,Fin Risk Trans & Restructuring,PROD STAFF,Controllership,Accounting Technology
Crista,Hollyanne,Cisland,532-26-4341,293-91-0315,hcisland5v@amazon.de,Female,15,17,Teal,CTH to FTE,Joined,FY20 P1,Risk Intelligence,PROD STAFF,D3,SQL DBA
Zondra,Wendi,Seely,558-16-9563,815-27-9601,wseely5w@blog.com,Female,6,8,Green,PDAT,Joined,FY20 P1,Forensic,PROD STAFF,MS&P ACTT,Prod Staff
Kerwinn,Olva,Berthon,832-81-4691,898-96-0541,oberthon5x@usatoday.com,Male,12,19,Fuscia,PDAT,Joined,FY20 P1,Regulatory & Operational Risk,PROD STAFF,Securitization,Financial Technology
Dolores,Jacintha,Avramov,196-01-7926,192-46-4039,javramov5y@go.com,Female,15,2,Goldenrod,Referral,Joined,FY20 P1,Forensic,PROD STAFF,Securitization,Financial Technology
Llewellyn,Vi,Lagadu,127-06-4465,417-75-8203,vlagadu5z@addthis.com,Male,11,14,Pink,Net Sourcing,Joined,FY20 P1,Risk Intelligence,PROD STAFF,MS&P,QSpace
Manuel,Tomasina,Tulleth,823-47-8445,825-29-9482,ttulleth60@tmall.com,Male,1,13,Indigo,Net Sourcing,Joined,FY20 P1,Assurance & Internal Audit,PROD STAFF,Securitization,Financial Technology
Libbie,Gipsy,Bracco,683-66-3157,513-62-5552,gbracco61@dyndns.org,Female,17,5,Purple,PDAT,Joined,FY20 P1,National,PROD STAFF,MS&P LRA,TrueView
Mella,Caryl,Mapis,667-65-9323,619-03-4537,cmapis62@ycombinator.com,Female,1,2,Fuscia,CTH to FTE,Joined,FY20 P1,Forensic,PROD STAFF,D3,SQL DBA
Lindy,Meriel,Rangall,193-97-7478,154-02-7915,mrangall63@unesco.org,Male,11,3,Fuscia,Referral,Joined,FY20 P1,Regulatory & Operational Risk,PROD STAFF,MS&P,QSpace
Octavia,Dorrie,Leary,171-34-5743,804-08-9090,dleary64@ftc.gov,Female,20,14,Aquamarine,Net Sourcing,Joined,FY20 P1,Risk Intelligence,PROD STAFF,MS&P CIS,ValueD
Rancell,Willetta,Tow,337-47-4014,875-16-8076,wtow65@twitpic.com,Male,11,1,Mauv,CTH to FTE,Joined,FY20 P1,Fin Risk Trans & Restructuring,PROD STAFF,MS&P,QSpace
Gannon,Chickie,Antczak,469-87-0956,877-22-3348,cantczak66@networksolutions.com,Male,9,2,Indigo,CTH to FTE,Joined,FY20 P1,Forensic,PROD STAFF,MS&P,QSpace
Doe,Aeriell,Udy,453-74-6290,682-70-2741,audy67@360.cn,Female,16,17,Blue,Net Sourcing,Joined,FY20 P6,Forensic,PROD STAFF,MS&P LRA,TrueView
Levy,Maisey,Felgate,109-60-0603,333-22-6724,mfelgate68@wikipedia.org,Male,1,15,Turquoise,PDAT,Joined,FY20 P6,Risk Intelligence,PROD STAFF,MS&P CIS,ValueD
Wald,Courtnay,Tackle,695-51-3492,428-26-4995,ctackle69@rediff.com,Male,3,15,Yellow,Net Sourcing,Joined,FY20 P6,Risk Intelligence,PROD STAFF,MS&P CIS,ValueD
Norby,Alfi,Siveter,880-08-6036,396-12-2316,asiveter6a@blinklist.com,Male,7,10,Goldenrod,PDAT,Joined,FY20 P6,Regulatory & Operational Risk,PROD STAFF,Controllership,Accounting Technology
Wittie,Mariette,Cubbin,841-28-2479,621-55-1505,mcubbin6b@mtv.com,Male,19,3,Green,Internal Mobility,Joined,FY20 P6,Regulatory & Operational Risk,PROD STAFF,MS&P LRA,TrueView
Simmonds,Otha,Shillabeer,274-07-4422,668-81-9812,oshillabeer6c@uiuc.edu,Male,5,14,Orange,Net Sourcing,Joined,FY20 P6,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,ValueD
Sybila,Rubina,Grattage,304-14-8944,402-56-7766,rgrattage6d@shutterfly.com,Female,3,9,Pink,PDAT,Joined,FY20 P6,Regulatory & Operational Risk,PROD STAFF,MS&P ACTT,Prod Staff
Levy,Zena,Durnell,827-01-4805,156-76-0160,zdurnell6e@answers.com,Male,10,12,Indigo,Net Sourcing,Joined,FY20 P6,National,PROD STAFF,MS&P CIS,ValueD
Errol,Rikki,Caughte,448-71-0141,768-95-4705,rcaughte6f@topsy.com,Male,4,8,Teal,Net Sourcing,Joined,FY20 P6,Forensic,PROD STAFF,D3,SQL DBA
Adelaide,Elayne,Studman,136-34-5567,344-73-8432,estudman6g@acquirethisname.com,Female,19,12,Mauv,Vendor,Joined,FY20 P6,Fin Risk Trans & Restructuring,PROD STAFF,D3,SQL DBA
Iggy,Courtenay,Prydden,713-72-7935,452-92-7649,cprydden6h@networksolutions.com,Male,13,2,Blue,Vendor,Joined,FY20 P6,Regulatory & Operational Risk,PROD STAFF,Securitization,Financial Technology
Ford,Jourdan,Ghilardini,515-51-9500,409-69-8353,jghilardini6i@mlb.com,Male,19,14,Pink,Net Sourcing,Joined,FY20 P6,Regulatory & Operational Risk,PROD STAFF,MS&P,QSpace
Holmes,Calla,Marchelli,741-31-2257,630-13-9230,cmarchelli6j@abc.net.au,Male,9,9,Fuscia,Referral,Joined,FY20 P6,Regulatory & Operational Risk,PROD STAFF,MS&P,QSpace
Marieann,Dorothee,Hrus,574-89-3693,734-02-7758,dhrus6k@stanford.edu,Female,6,13,Red,Vendor,Joined,FY20 P6,Risk Intelligence,PROD STAFF,Securitization,Financial Technology
Tanny,Cally,Sanpere,899-11-0577,430-85-8736,csanpere6l@hatena.ne.jp,Male,10,9,Puce,Net Sourcing,Joined,FY20 P6,National,PROD STAFF,Securitization,Financial Technology
Diane-marie,Magdalene,Millington,849-21-2718,566-99-2875,mmillington6m@printfriendly.com,Female,3,20,Puce,Vendor,Joined,FY20 P6,Fin Risk Trans & Restructuring,PROD STAFF,Controllership,Accounting Technology
Egan,Bee,Tregust,838-59-8718,166-53-3386,btregust6n@go.com,Male,10,8,Mauv,CTH to FTE,Joined,FY20 P6,Assurance & Internal Audit,PROD STAFF,MS&P,QSpace
Tiler,Nadya,Diess,242-56-7231,283-02-6692,ndiess6o@shinystat.com,Male,16,11,Puce,Internal Mobility,Joined,FY20 P6,Fin Risk Trans & Restructuring,PROD STAFF,MS&P,QSpace
Ely,Zora,Laffin,872-49-2470,312-33-1309,zlaffin6p@mlb.com,Male,4,11,Teal,PDAT,Joined,FY20 P6,Assurance & Internal Audit,PROD STAFF,Controllership,Accounting Technology
Irma,Emelda,Ramard,187-06-9374,799-74-3859,eramard6q@disqus.com,Female,17,5,Teal,Vendor,Joined,FY20 P6,Regulatory & Operational Risk,PROD STAFF,MS&P LRA,TrueView
Nowell,Flss,Cancelier,476-47-5871,764-46-8987,fcancelier6r@blogger.com,Male,19,9,Puce,PDAT,Joined,FY20 P6,National,PROD STAFF,MS&P LRA,TrueView
Lock,Charmion,Kochs,505-84-5214,512-30-2686,ckochs6s@ca.gov,Male,12,17,Aquamarine,CTH to FTE,Joined,FY20 P6,National,PROD STAFF,MS&P ACTT,Prod Staff
Esmaria,Agathe,Ponter,389-38-6125,843-72-8645,aponter6t@google.nl,Female,2,20,Goldenrod,Vendor,Joined,FY20 P6,Assurance & Internal Audit,PROD STAFF,MS&P CIS,ValueD
Solly,Ruthe,aManger,159-67-3219,415-65-5698,ramanger6u@cnn.com,Male,8,19,Green,CTH to FTE,Joined,FY20 P6,Assurance & Internal Audit,PROD STAFF,Securitization,Financial Technology
Harvey,Dianemarie,Rozec,535-36-6104,158-24-9900,drozec6v@ebay.co.uk,Male,11,15,Puce,Net Sourcing,Joined,FY20 P6,Fin Risk Trans & Restructuring,PROD STAFF,MS&P ACTT,Prod Staff
Velma,Harri,Linden,273-37-1383,290-60-6670,hlinden6w@japanpost.jp,Female,4,11,Goldenrod,Net Sourcing,Joined,FY20 P6,Assurance & Internal Audit,PROD STAFF,Securitization,Financial Technology
Josh,Sela,Loker,325-28-2881,699-56-6476,sloker6x@csmonitor.com,Male,5,11,Puce,Referral,Joined,FY20 P6,Risk Intelligence,PROD STAFF,MS&P CIS,ValueD
Arte,Callie,MacCarroll,670-58-0881,806-53-5926,cmaccarroll6y@buzzfeed.com,Male,19,20,Purple,Vendor,Joined,FY20 P6,National,PROD STAFF,MS&P ACTT,Prod Staff
Davidde,Terri,Blackhurst,365-67-5020,376-61-0589,tblackhurst6z@google.es,Male,14,4,Yellow,Vendor,Joined,FY20 P6,Risk Intelligence,PROD STAFF,Controllership,Accounting Technology
Lauryn,Calida,Stiller,611-24-5456,128-34-0808,cstiller70@yellowbook.com,Female,1,14,Mauv,CTH to FTE,Joined,FY20 P6,Forensic,PROD STAFF,MS&P ACTT,Prod Staff
Shandie,Caryl,Ridings,830-71-2074,107-69-9692,cridings71@acquirethisname.com,Female,16,5,Crimson,Vendor,Joined,FY20 P6,Forensic,PROD STAFF,Controllership,Accounting Technology
Noble,Georgie,Perkins,785-96-7509,720-10-3021,gperkins72@sbwire.com,Male,18,11,Mauv,PDAT,Joined,FY20 P6,Risk Intelligence,PROD STAFF,MS&P LRA,TrueView
Jerrold,Lanni,Wing,827-95-9225,543-40-3411,lwing73@livejournal.com,Male,17,13,Blue,Vendor,Joined,FY20 P6,Regulatory & Operational Risk,PROD STAFF,Controllership,Accounting Technology
Orazio,Verena,Covolini,176-62-8459,372-10-3755,vcovolini74@so-net.ne.jp,Male,8,5,Mauv,Referral,Joined,FY20 P6,National,PROD STAFF,Controllership,Accounting Technology
Stanislaw,Druci,Kendal,237-53-1763,485-74-1022,dkendal75@weather.com,Male,2,19,Orange,Internal Mobility,Joined,FY20 P6,Regulatory & Operational Risk,PROD STAFF,MS&P LRA,TrueView
Mel,Dolly,Klimas,275-42-2623,469-09-9171,dklimas76@gizmodo.com,Male,14,10,Teal,Vendor,Joined,FY20 P6,Assurance & Internal Audit,PROD STAFF,MS&P LRA,TrueView
Dareen,Shaina,Peyton,200-81-7664,271-79-4451,speyton77@hao123.com,Female,10,1,Goldenrod,Internal Mobility,Joined,FY20 P6,Regulatory & Operational Risk,PROD STAFF,MS&P LRA,TrueView
Meris,Candice,Hollingsbee,651-65-2475,605-76-9007,chollingsbee78@bizjournals.com,Female,6,4,Yellow,Internal Mobility,Joined,FY20 P6,Regulatory & Operational Risk,PROD STAFF,MS&P ACTT,Prod Staff
Marianna,Alvina,Hissett,539-03-7476,299-39-1469,ahissett79@hhs.gov,Female,14,2,Violet,Net Sourcing,Joined,FY20 P6,Risk Intelligence,PROD STAFF,MS&P,QSpace
Candida,Stacee,Ellcome,840-97-4804,298-16-6449,sellcome7a@miitbeian.gov.cn,Female,14,20,Orange,Referral,Joined,FY20 P6,Forensic,PROD STAFF,MS&P LRA,TrueView
Janenna,Kass,Jukubczak,722-18-1047,329-83-8928,kjukubczak7b@hhs.gov,Female,13,1,Green,Vendor,Joined,FY20 P6,Forensic,PROD STAFF,MS&P ACTT,Prod Staff
Albert,Clo,Hannigane,720-78-8460,693-16-0703,channigane7c@wikispaces.com,Male,18,16,Teal,Internal Mobility,Joined,FY20 P6,National,PROD STAFF,Securitization,Financial Technology
Heather,Clair,Dahlback,721-51-3403,167-65-0387,cdahlback7d@examiner.com,Female,3,14,Crimson,Net Sourcing,Joined,FY20 P6,Fin Risk Trans & Restructuring,PROD STAFF,MS&P CIS,ValueD
Grantham,Deeanne,Meekings,527-44-8860,286-10-1137,dmeekings7e@blogs.com,Male,9,14,Crimson,Referral,Joined,FY20 P6,Risk Intelligence,PROD STAFF,Securitization,Financial Technology
Ernesto,Yoshiko,Foucher,762-77-4521,559-52-0878,yfoucher7f@go.com,Male,7,1,Green,PDAT,Joined,FY20 P6,Assurance & Internal Audit,PROD STAFF,Securitization,Financial Technology
Celestyn,Aleen,Szwarc,669-28-0758,478-21-0771,aszwarc7g@so-net.ne.jp,Female,14,17,Indigo,Internal Mobility,Joined,FY20 P6,Fin Risk Trans & Restructuring,PROD STAFF,MS&P ACTT,Prod Staff
Davon,Tine,Krzysztof,472-31-3295,167-38-1323,tkrzysztof7h@mac.com,Male,8,17,Blue,Net Sourcing,Joined,FY20 P6,National,PROD STAFF,MS&P LRA,TrueView
